id,Regdex,Natdex,Pokemon,Type,Type2,NatdexSimp,PokemonImgLink,PokedexEntry
217,#199,#217,Ursaring,Normal,Normal,217,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/217.png?raw=true,"In its territory, it leaves scratches on trees that bear delicious berries or fruits."
218,#216,#218,Slugma,Fire,Fire,218,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/218.png?raw=true,"A common sight in volcanic areas, it slowly slithersaround in a con­ stant search for warm places."
219,#217,#219,Magcargo,Fire,Rock,219,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/219.png?raw=true,The shell on its back is just skin that has cooled and hardened. It breaks easily with a slight touch.
220,#195,#220,Swinub,Ice,Ground,220,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/220.png?raw=true,"If it smells something enticing, it dashes off headlong to find the source of the aroma."
221,#196,#221,Piloswine,Ice,Ground,221,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/221.png?raw=true,Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold.This Pokémon uses its tusks to dig up food that has been buried under ice.
222,#173,#222,Corsola,Water,Rock,222,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/222.png?raw=true,It will regrow any branches that break off its head. People keep particularly beautiful Corsola branches as charms to promote safe childbirth.
223,#174,#223,Remoraid,Water,Water,223,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/223.png?raw=true,"This Pokémon clings to Mantine and shares in its prosperity. When its Mantine is attacked, Remoraid will fight alongside it!"
224,#175,#224,Octillery,Water,Water,224,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/224.png?raw=true,It traps enemies with its suction- cupped tentaclesthen smashes them with its rock-hard head.
225,#194,#225,Delibird,Ice,Flying,225,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/225.png?raw=true,It carries food rolled up in its tail. It has the habit of sharing food with people lost in mountains.
226,#202,#226,Mantine,Water,Flying,226,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/226.png?raw=true,"If it builds up enough speed swimming, it can fly over 300 feet out of the water from the surface of the ocean."
227,#203,#227,Skarmory,Steel,Flying,227,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/227.png?raw=true,"Skarmory’s steel wings become tattered and bashed in from repeated battles. Once a year, the battered wings growback completely, restoring the cutting edges to their pristine state."
228,#214,#228,Houndour,Dark,Fire,228,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/228.png?raw=true,It is smart enough to hunt in packs. It uses a variety of cries for communicating with others.
229,#215,#229,Houndoom,Dark,Fire,229,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/229.png?raw=true,"In a Houndoom pack, the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves."
230,#192,#230,Kingdra,Water,Dragon,230,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/230.png?raw=true,Scales shed by this Pokémon have such a splendorous gleam to them that they’ve been given to royalty as gifts.
231,#200,#231,Phanpy,Ground,Ground,231,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/231.png?raw=true,It is strong despite its compact size. It can easily pick up and carry an adult human on its back.
232,#201,#232,Donphan,Ground,Ground,232,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/232.png?raw=true,"Because this Pokémon's skin is so tough, a normalattack won't even leave a scratch on it."
233,#221,#233,Porygon2,Normal,Normal,233,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/233.png?raw=true,Porygon2 was created by humans using the power of science. The man-made Pokémon has been endowed withartificial intelligence that enables it to learn new gestures and emotions on its own.
234,#131,#234,Stantler,Normal,Normal,234,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/234.png?raw=true,Staring at its antlers creates an odd sensation as if one were being drawn into their centers.
235,#159,#235,Smeargle,Normal,Normal,235,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/235.png?raw=true,"It marks its territory by using its tail like a paintbrush. There are more than 5,000 different marks."
236,#145,#236,Tyrogue,Fighting,Fighting,236,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/236.png?raw=true,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses."
237,#148,#237,Hitmontop,Fighting,Fighting,237,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/237.png?raw=true,"If you are enchanted by its smooth, dance-like kicks, you may get a closer experience with one than you’d like."
238,#154,#238,Smoochum,Ice,Psychic,238,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/238.png?raw=true,"Smoochum actively runs about, but also falls quite often. Whenever the chance arrives, it willlook for its reflection to make sure its face hasn’t become dirty."
239,#156,#239,Elekid,Electric,Electric,239,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/239.png?raw=true,"Even in the most vicious storm, this Pokémon plays happily if thunder rumbles in the sky."
240,#152,#240,Magby,Fire,Fire,240,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/240.png?raw=true,"It’s small, but its body temperature is over 1,100 degrees F. Embers escape its mouth and nose when it breathes."
241,#151,#241,Miltank,Normal,Normal,241,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/241.png?raw=true,Miltank gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike.People who can’t drink milk turn it into yogurt and eat it instead.
242,#223,#242,Blissey,Normal,Normal,242,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/242.png?raw=true,"It has a very com­ passionate nature. If it sees a sickPokémon, it will nurse the sufferer back to health."
243,#243,#243,Raikou,Electric,Electric,243,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/243.png?raw=true,It is said to have fallen with lightning. It can fire thunderbolts from the rain clouds on its back.
244,#244,#244,Entei,Fire,Fire,244,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/244.png?raw=true,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.
245,#245,#245,Suicune,Water,Water,245,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/245.png?raw=true,It races around the world to purify fouled water. It dashes away with the north wind.
246,#249,#246,Larvitar,Rock,Ground,246,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/246.png?raw=true,"It feeds on soil. After it has eaten a large mountain,it will fall asleep so it can grow."
247,#250,#247,Pupitar,Rock,Ground,247,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/247.png?raw=true,"Its shell is as hard as sheet rock, and it is also very strong. Its thrashing can topple a mountain."
248,#251,#248,Tyranitar,Rock,Dark,248,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/248.png?raw=true,"Tyranitar is so overwhelmingly powerful, it can bring down a whole mountain to make its nest.This Pokémon wanders about in mountains seeking new opponents to fight."
249,#252,#249,Lugia,Psychic,Flying,249,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/249.png?raw=true,It has an incred­ ible ability to calm raging sto­rms. It is said that Lugia appears when storms start.
250,#253,#250,Ho-Oh,Fire,Flying,250,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/250.png?raw=true,Its feathers are in seven colors. It is said that anyone seeing it is promised eternal happiness.
251,#256,#251,Celebi,Psychic,Grass,251,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/251.png?raw=true,This Pokémon has the ability to move through time. Records describing it as a forest deity can be found from many different eras.
252,#001,#252,Treecko,Grass,Grass,252,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/252.png?raw=true,"The soles of its feet are covered by countless tiny spikes, enabling it to walk on walls and ceilings."
253,#002,#253,Grovyle,Grass,Grass,253,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/253.png?raw=true,The leaves growing out of Grovyle’s body are convenient for camouflaging it from enemies in the forest. This Pokémon is a master at climbing trees in jungles.
254,#003,#254,Sceptile,Grass,Grass,254,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/254.png?raw=true,The leaves growing on Sceptile’s body are very sharp edged. This Pokémon is very agile - it leaps all over thebranches of trees and jumps on its foe from above or behind.
255,#004,#255,Torchic,Fire,Fire,255,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/255.png?raw=true,"A fire burns inside, so it feels very warm to hug. It launches fireballs of 1,800 degrees F."
256,#005,#256,Combusken,Fire,Fighting,256,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/256.png?raw=true,"During a battle, the hot flame in its body increases. Its kicks have outstanding destructive power."
257,#006,#257,Blaziken,Fire,Fighting,257,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/257.png?raw=true,"It learns martial arts that use punches and kicks. Every several years, its old feathers burn off, and new, supple feathers grow back in their place."
258,#007,#258,Mudkip,Water,Water,258,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/258.png?raw=true,Its power can crush boulders. It rests by covering itself with mud at the bottom of a river.
259,#008,#259,Marshtomp,Water,Ground,259,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/259.png?raw=true,"The surface of Marshtomp’s body is enveloped by a thin, sticky film that enables it to live on land.This Pokémon plays in mud on beaches when the ocean tide is low."
260,#009,#260,Swampert,Water,Ground,260,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/260.png?raw=true,"Swampert predicts storms by sensing subtle differences in the sounds of waves and tidal winds with its fins. If a storm is approaching, it piles up boulders to protect itself."
261,#010,#261,Poochyena,Dark,Dark,261,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/261.png?raw=true,"A Pokémon with a persistent nature, it chases its chosen prey until the prey becomes exhausted."
262,#011,#262,Mightyena,Dark,Dark,262,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/262.png?raw=true,Mightyena travel and act as a pack in the wild. The memory of its life in the wild compels the Pokémon to obey onlythose TRAINERS that it recognizes to possess superior skill.
263,#012,#263,Zigzagoon,Normal,Normal,263,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/263.png?raw=true,It walks in zigzag fashion. It is good at finding items in the grass and even in the ground.
264,#013,#264,Linoone,Normal,Normal,264,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/264.png?raw=true,"When running in a straight line, it can easily top 60 miles an hour. It has a tough time with curved roads."
265,#014,#265,Wurmple,Bug,Bug,265,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/265.png?raw=true,"It loves to eat leaves. If it is attacked by a STARLY, it will defend itself with its spiked rear."
266,#015,#266,Silcoon,Bug,Bug,266,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/266.png?raw=true,It wraps silk around the branches of a tree. It drinks rainwater on its silk while awaiting evolution.
267,#016,#267,Beautifly,Bug,Flying,267,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/267.png?raw=true,"It has an aggressive nature. It stabs prey with its long, narrow mouth to drain the prey’s fluids."
268,#017,#268,Cascoon,Bug,Bug,268,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/268.png?raw=true,"The silk coating its body is thin but sufficiently strong. Cascoon's silk has a luster and texture superior to that of Silcoon's, and clothes made using Cascoon silk are regarded as top-notch."
269,#018,#269,Dustox,Bug,Poison,269,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/269.png?raw=true,Tends to be drawn to bonfires on dark nights. Difficult to chase away from settlements because of the way it scatters highly toxic scales.
270,#019,#270,Lotad,Water,Grass,270,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/270.png?raw=true,Its leaf grew too large for it to live on land. That is how it began to live floating in the water.
271,#020,#271,Lombre,Water,Grass,271,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/271.png?raw=true,It lives at the water’s edge where it is sunny. It sleeps on a bed of water grass by day and becomes active at night.
272,#021,#272,Ludicolo,Water,Grass,272,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/272.png?raw=true,"If it hears festive music, all its muscles fill with energy. It can’t help breaking out into a dance."
273,#022,#273,Seedot,Grass,Grass,273,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/273.png?raw=true,"When it dangles from a tree branch, it looks just like an acorn. It enjoys scaring other Pokémon."
274,#023,#274,Nuzleaf,Grass,Dark,274,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/274.png?raw=true,They live in holes bored in large trees. The sound of Nuzleaf’s grass flute fills listeners with dread.
275,#024,#275,Shiftry,Grass,Dark,275,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/275.png?raw=true,Shiftry is a mysterious Pokémon that is said to live atop towering trees dating back over a thousand years. It creates terrific windstorms with the fans it holds.
276,#025,#276,Taillow,Normal,Flying,276,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/276.png?raw=true,"Taillow courageously stands its ground against foes, however strong they may be.This gutsy Pokémon will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry."
277,#026,#277,Swellow,Normal,Flying,277,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/277.png?raw=true,"Swellow is very conscientious about the upkeep of its glossy wings. Once two Swellow are gathered, theydiligently take care of cleaning each other’s wings."
278,#027,#278,Wingull,Water,Flying,278,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/278.png?raw=true,Its hollow bones enhance its lightness. It spreads its wings to the wind and soars away into the sky.
279,#028,#279,Pelipper,Water,Flying,279,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/279.png?raw=true,It is a flying transporter that carries small Pokémon in its beak. It bobs on the waves to rest its wings.
280,#029,#280,Ralts,Psychic,Fairy,280,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/280.png?raw=true,"If its horns capture the warm feelings of people or Pokémon, its body warms up slightly."
281,#030,#281,Kirlia,Psychic,Fairy,281,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/281.png?raw=true,"It resembles a maiden in appearance, but it wields strange powers to project visions of paradise. I suspect the crimson ornaments on its head are the key to its abilities."
282,#031,#282,Gardevoir,Psychic,Fairy,282,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/282.png?raw=true,It has the power to predict the future. Its power peaks when it is protecting its Trainer.
283,#032,#283,Surskit,Bug,Water,283,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/283.png?raw=true,It appears as if it is skating on water. It draws prey with a sweet scent from the tip of its head.
284,#033,#284,Masquerain,Bug,Flying,284,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/284.png?raw=true,"Masquerain’s antennas have eyelike patterns that usually give it an angry look. If the “eyes” are droopy and appear sad, it is said to be a sign that a heavy rainfall is on its way."
285,#034,#285,Shroomish,Grass,Grass,285,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/285.png?raw=true,"Shroomish live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves.This Pokémon feeds on compost that is made up of fallen, rotted leaves."
286,#035,#286,Breloom,Grass,Fighting,286,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/286.png?raw=true,The seeds ringing Breloom’s tail are made of hardened toxic spores. It is horrible to eat the seeds. Just taking a bite of this Pokémon’s seed will cause your stomach to rumble.
287,#036,#287,Slakoth,Normal,Normal,287,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/287.png?raw=true,It spends nearly all its time in a day sprawled out. Just seeing it makes one drowsy.
288,#037,#288,Vigoroth,Normal,Normal,288,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/288.png?raw=true,Its heartbeat is fast and its blood so agitated that it can’t sit still for one second.
289,#038,#289,Slaking,Normal,Normal,289,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/289.png?raw=true,The world’s laziest Pokémon. It moves to another spot when there’s no food left within its reach.
290,#042,#290,Nincada,Bug,Ground,290,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/290.png?raw=true,"It grows underground, sensing its surroundings using antennae instead of its virtually blind eyes."
291,#043,#291,Ninjask,Bug,Flying,291,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/291.png?raw=true,"Because it darts about vigorously at high speed, it is very difficult to see. Hearing its distinctive cries for too long induces a headache."
292,#044,#292,Shedinja,Bug,Ghost,292,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/292.png?raw=true,A discarded bug shell that came to life. Peering into the crack on its back is said to steal one’s spirit.
293,#045,#293,Whismur,Normal,Normal,293,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/293.png?raw=true,It usually murmurs but starts crying loudly if it senses danger. It stops when its ear covers are shut.
294,#046,#294,Loudred,Normal,Normal,294,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/294.png?raw=true,The shock waves from its cries can tip over trucks. It stamps its feet to power up.
295,#047,#295,Exploud,Normal,Normal,295,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/295.png?raw=true,Its howls can be heard over six miles away. It emits all sorts of noises from the ports on its body.
296,#048,#296,Makuhita,Fighting,Fighting,296,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/296.png?raw=true,It toughens its body by slamming into thick trees. Many snapped trees can be found near its nest.
297,#049,#297,Hariyama,Fighting,Fighting,297,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/297.png?raw=true,It loves challenging others to tests of strength. It has the power to stop a train with a slap.
298,#054,#298,Azurill,Normal,Fairy,298,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/298.png?raw=true,Its tail is filled with nutrients necessary for growth. It plays by bouncing on its tail.
299,#060,#299,Nosepass,Rock,Rock,299,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/299.png?raw=true,"If two of these meet, they cannot get too close because their noses repel each other."
300,#061,#300,Skitty,Normal,Normal,300,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/300.png?raw=true,It’s adorable when it chases its own tail. It’s difficult to earn its trust.
301,#062,#301,Delcatty,Normal,Normal,301,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/301.png?raw=true,It dislikes dirty places. It often searches for a comfortable place in which to groom itself.
302,#068,#302,Sableye,Dark,Ghost,302,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/302.png?raw=true,It hides in the darkness of caves. Its diet of gems has transformed its eyes into gemstones.
303,#069,#303,Mawile,Steel,Fairy,303,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/303.png?raw=true,Attached to its head is a huge set of jaws formed by horns. It can chew through iron beams.
304,#070,#304,Aron,Steel,Rock,304,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/304.png?raw=true,"In order to build up its steel body, it eats iron ore. This pesky Pokémon is known to eat railroad tracks."
305,#071,#305,Lairon,Steel,Rock,305,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/305.png?raw=true,"During territorial disputes, Lairon fight by slamming into each other. Close inspection of their steel armor reveals scratches and dents."
306,#072,#306,Aggron,Steel,Rock,306,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/306.png?raw=true,It claims a large mountain as its sole territory. It mercilessly thrashes those that violate its space.
307,#076,#307,Meditite,Fighting,Psychic,307,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/307.png?raw=true,"It continually meditates for hours every day. As a result of rigorous and dedicated yoga training, it has tempered its spiritual power so much it can fly."
308,#077,#308,Medicham,Fighting,Psychic,308,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/308.png?raw=true,"Through yoga training, it gained the psychic power to predict its foe’s next move."
309,#078,#309,Electrike,Electric,Electric,309,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/309.png?raw=true,"Using electricity stored in its fur, it stimulates its muscles to heighten its reaction speed."
310,#079,#310,Manectric,Electric,Electric,310,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/310.png?raw=true,Manectric discharges strong electricity from its mane. The mane is used for collecting electricity in theatmosphere. This Pokémon creates thunderclouds above its head.
311,#080,#311,Plusle,Electric,Electric,311,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/311.png?raw=true,It cheers on friends with pom-poms made of sparks. It drains power from telephone poles.
312,#081,#312,Minun,Electric,Electric,312,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/312.png?raw=true,"It cheers on friends. If its friends are losing, its body lets off more and more sparks."
313,#086,#313,Volbeat,Bug,Bug,313,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/313.png?raw=true,"It lives around clean ponds. At night, its rear lights up. It converses with others by flashing its light."
314,#087,#314,Illumise,Bug,Bug,314,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/314.png?raw=true,"With its sweet aroma, it guides Volbeat to draw signs with light in the night sky."
315,#094,#315,Roselia,Grass,Poison,315,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/315.png?raw=true,Roselia shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms.The aroma of this Pokémon brings serenity to living things.
316,#095,#316,Gulpin,Poison,Poison,316,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/316.png?raw=true,"It has a small heart and brain. Its stomach comprises most of its body, with enzymes to dissolve anything."
317,#096,#317,Swalot,Poison,Poison,317,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/317.png?raw=true,It swallows anything whole. It sweats toxic fluids from its follicles to douse foes.
318,#097,#318,Carvanha,Water,Dark,318,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/318.png?raw=true,"If anything invades Carvanha’s territory, it will swarm and tear at the intruder with its pointed fangs.On its own, however, this Pokémon turns suddenly timid."
319,#098,#319,Sharpedo,Water,Dark,319,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/319.png?raw=true,It can swim at speeds of 75 mph by jetting seawater through its body. It is the bandit of the sea.
320,#099,#320,Wailmer,Water,Water,320,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/320.png?raw=true,It loves to startle people. It fills itself up with seawater and plays by bouncing around like a ball.
321,#100,#321,Wailord,Water,Water,321,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/321.png?raw=true,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.
322,#101,#322,Numel,Fire,Ground,322,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/322.png?raw=true,"Numel is extremely dull witted—it doesn’t notice being hit. However, it can’t stand hunger for even a second. This Pokémon’s body is a seething cauldron of boiling magma."
323,#102,#323,Camerupt,Fire,Ground,323,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/323.png?raw=true,"If angered, the humps on its back erupt in a shower of molten lava. It lives in the craters of volcanoes."
324,#105,#324,Torkoal,Fire,Fire,324,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/324.png?raw=true,You find abandoned coal mines full of them. They dig tirelessly in search of coal.
325,#110,#325,Spoink,Psychic,Psychic,325,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/325.png?raw=true,"It bounces constantly, using its tail like a spring. The shock of bouncing keeps its heart beating."
326,#111,#326,Grumpig,Psychic,Psychic,326,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/326.png?raw=true,It can perform odd dance steps to influence foes. Its style of dancing became hugely popular overseas.
327,#114,#327,Spinda,Normal,Normal,327,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/327.png?raw=true,Its steps are shaky and stumbling. Walking for a long time makes it feel sick.
328,#116,#328,Trapinch,Ground,Ground,328,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/328.png?raw=true,Its jaws are strong enough to crush rocks but so heavy that it can’t get up if it flips over. Sandile seize those moments as their chance.
329,#117,#329,Vibrava,Ground,Dragon,329,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/329.png?raw=true,"To help make its wings grow, it dissolves quantities of prey in its digestive juices and guzzles them down every day."
330,#118,#330,Flygon,Ground,Dragon,330,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/330.png?raw=true,"The flapping of its wings sounds like singing. To prevent detection by enemies, it hides itself by flapping up a cloud of desert sand."
331,#119,#331,Cacnea,Grass,Grass,331,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/331.png?raw=true,It prefers harsh environments such as deserts. It can survive for 30 days on water stored in its body.
332,#120,#332,Cacturne,Grass,Dark,332,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/332.png?raw=true,"During the daytime, Cacturne remains unmoving so that it does not lose any moisture to the harsh desert sun. This Pokémon becomes active at night when the temperature drops."
333,#121,#333,Swablu,Normal,Flying,333,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/333.png?raw=true,"For some reason, it likes to land on people’s heads softly and act like it’s a hat."
334,#122,#334,Altaria,Dragon,Flying,334,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/334.png?raw=true,Altaria sings in a gorgeous soprano. Its wings are like cotton clouds. This Pokémon catches updrafts with itsbuoyant wings and soars way up into the wild blue yonder.
335,#123,#335,Zangoose,Normal,Normal,335,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/335.png?raw=true,It has feuded with Seviper for many generations. Its sharp claws are its biggest weapons.
336,#124,#336,Seviper,Poison,Poison,336,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/336.png?raw=true,"Seviper and ZANGOOSE are eternal rivals. It counters a ZANGOOSE’s dazzling agility with its swordlike tail, which also oozes a horrible poison."
337,#125,#337,Lunatone,Rock,Psychic,337,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/337.png?raw=true,"Because it turns active on nights of the full moon, it is said to have some link to the lunar phases."
338,#126,#338,Solrock,Rock,Psychic,338,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/338.png?raw=true,"Solar energy is the source of this  Pokémon’s power. On sunny days, groups of Solrock line up facing the sun and absorb its light."
339,#127,#339,Barboach,Water,Ground,339,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/339.png?raw=true,Its whiskers are filled with nerves. They can sense smells and flavors just as a person’s nose or tongue would.
